name,state,published,closing
"STATE LET MAINTENANCE CONTRACT, MCLENNAN CO, EMULSION","
								Texas","
								08/13/2021","
								09/01/2021"
Auditing Services,"
								New Jersey","
								08/13/2021","
								09/01/2021"
"STATE LET MAINTENANCE CONTRACT, NOLAN CO, DE-ICING SALT","
								Texas","
								08/13/2021","
								09/01/2021"
"STATE LET MAINTENANCE CONTRACT, TITUS CO, CRACK SEAL","
								Texas","
								08/13/2021","
								09/01/2021"
Design Services for Parking Lot Renovation and Construction,"
								Kentucky","
								08/13/2021","
								09/01/2021"
20K LB. Rubber Tracked Compact Excavator,"
								Nevada","
								08/13/2021","
								09/01/2021"
51st Circle Generator Purchase and Installation,"
								Washington","
								08/13/2021","
								09/01/2021"
Michael J. Tully Park HVAC Improvements,"
								New York","
								08/13/2021","
								09/02/2021"
Refrigerators for the Houston District Headquarters,"
								Texas","
								08/13/2021","
								08/26/2021"
Riviera AO Janitorial Services,"
								Texas","
								08/13/2021","
								08/26/2021"
Nohl Ranch Road Sidewalk Gap Closure Project,"
								California","
								08/13/2021","
								08/26/2021"
TREE AND STUMP REMOVAL ON CALLE DEL CERRO AND AVENIDA VISTA MONTANA,"
								California","
								08/13/2021","
								08/26/2021"
Coffee and Coffee Supplies Authority Wide,"
								Massachusetts","
								08/13/2021","
								08/27/2021"
Cremation Services for Unclaimed Remains,"
								Vermont","
								08/13/2021","
								08/30/2021"
Lake Street Culvert Replacment,"
								Vermont","
								08/13/2021","
								08/30/2021"
NURSING SERVICES FOR THE ADMINISTRATION OF VACCINES,"
								New Jersey","
								08/13/2021","
								08/31/2021"
"Desktop Computers, Monitors and Mounting Brackets","
								New Jersey","
								08/13/2021","
								08/31/2021"
All-In-One Computers and Accessories,"
								New Jersey","
								08/13/2021","
								08/31/2021"
REQUEST FOR PAVING BIDS,"
								Georgia","
								08/13/2021","
								09/08/2021"
ROOF REPLACEMENT - PARK MAINTENANCE FACILITY AT WILD ACRES PARK,"
								Missouri","
								08/13/2021","
								09/01/2021"
2021 DODGE DURANGO PURSUIT AWD SPORT UTILITY,"
								Missouri","
								08/13/2021","
								09/01/2021"
Snow Removal,"
								Maryland","
								08/13/2021","
								09/01/2021"
Maintenance of City HVAC Units and Dehumidifiers,"
								Tennessee","
								08/13/2021","
								09/01/2021"
Blackhawk Junction Demolition,"
								Wisconsin","
								08/13/2021","
								09/01/2021"
2021-2022 Sidewalk Snow and Ice Removal in the Southwest Quadrant in the City of Omaha,"
								Nebraska","
								08/13/2021","
								09/01/2021"
2021-2022 Sidewalk Snow and Ice Removal in the Northwest Quadrant in the City of Omaha,"
								Nebraska","
								08/13/2021","
								09/01/2021"
Temporary Clerical Staffing Services,"
								Pennsylvania","
								08/13/2021","
								09/01/2021"
Ground Maintenance Service for Bert Ferguson & Fletcher Parks,"
								Tennessee","
								08/13/2021","
								09/01/2021"
"STATE LET MAINTENANCE CONTRACT, TITUS CO, DE-ICING SALT","
								Texas","
								08/13/2021","
								09/01/2021"
"STATE LET MAINTENANCE CONTRACT, PALO PINTO CO, CULVERT REPLACEMENT","
								Texas","
								08/13/2021","
								09/01/2021"
"STATE LET MAINTENANCE CONTRACT, LUBBOCK CO, CRACK SEAL","
								Texas","
								08/13/2021","
								09/01/2021"
"STATE LET MAINTENANCE CONTRACT, JEFFERSON CO, MILL AND INLAY","
								Texas","
								08/13/2021","
								09/01/2021"
"STATE LET MAINTENANCE CONTRACT, JEFFERSON CO, FULL DEPTH CONCRETE REPAIR","
								Texas","
								08/13/2021","
								09/01/2021"
Design Services for Sports Courts Construction and Renovation,"
								Kentucky","
								08/13/2021","
								09/01/2021"
Legal Services,"
								New Jersey","
								08/13/2021","
								09/01/2021"
"STATE LET MAINTENANCE CONTRACT, JOHNSON CO, HOT MIX ASPHALT","
								Texas","
								08/13/2021","
								09/01/2021"
Accounting Services,"
								New Jersey","
								08/13/2021","
								09/01/2021"
Boiler Burner Replacement - Hutchinson,"
								Kansas","
								08/13/2021","
								09/01/2021"
Unarmed Security Guard Services at various locations,"
								California","
								08/13/2021","
								09/01/2021"
ROOF REPLACEMENTS at FIRE DEPARTMENT HEADQUARTERS & BRIGGS CORNER FIRE STATION,"
								Massachusetts","
								08/13/2021","
								09/01/2021"
Andrews Square Intersection Improvements,"
								Maine","
								08/13/2021","
								09/01/2021"
River Road Median Landscape Improvements,"
								California","
								08/13/2021","
								09/01/2021"
Tier 1 Mental Health Services,"
								New Jersey","
								08/13/2021","
								09/02/2021"
Elevator Maintenance and Repairs,"
								New Jersey","
								08/13/2021","
								09/02/2021"
Police Vehicles,"
								Georgia","
								08/13/2021","
								09/02/2021"
"Laundry Services, For Various JCHA Developments, For A Period Of Three (3) Years With Option For An Additional Two (2) Years","
								New Jersey","
								08/13/2021","
								09/02/2021"
Body Transport Services,"
								Ohio","
								08/13/2021","
								09/02/2021"
Snow Removal Services,"
								Virginia","
								08/13/2021","
								09/02/2021"
"STATE LET MAINTENANCE CONTRACT, SAN JACINTO CO, TRAFFIC CONTROL SERVICES","
								Texas","
								08/13/2021","
								09/02/2021"
"STATE LET MAINTENANCE CONTRACT, LAMB CO, METAL BEAM GUARD FENCE REPAIR","
								Texas","
								08/13/2021","
								09/02/2021"
"STATE LET MAINTENANCE CONTRACT, LAMAR CO, TRAFFIC SIGNAL MAINTENANCE","
								Texas","
								08/13/2021","
								09/02/2021"
"STATE LET MAINTENANCE CONTRACT, TARRANT CO, BRIDGE PREVENTATIVE MAINTENANCE","
								Texas","
								08/13/2021","
								09/02/2021"
"STATE LET MAINTENANCE CONTRACT, SMITH CO, REFLECTORIZED PAVEMENT MARKINGS & MARKERS","
								Texas","
								08/13/2021","
								09/02/2021"
Landscaping Improvements,"
								Michigan","
								08/13/2021","
								09/02/2021"
Mowing & Landscape Services at the Depot,"
								North Carolina","
								08/13/2021","
								09/02/2021"
RESURFACING OF OAKDENE AVENUE,"
								New Jersey","
								08/12/2021","
								08/31/2021"
BLDG6; WO# 219349; CORBIN RUSSWIN KEY BLANKS 2021.08.11,"
								West Virginia","
								08/12/2021","
								08/26/2021"
Demolition and clean up of one (1) structure,"
								Missouri","
								08/12/2021","
								08/26/2021"
Beduan Brass Automatic Float Valves,"
								West Virginia","
								08/12/2021","
								08/26/2021"
GROUNDS; BAD BOY MOWER REPAIR PARTS 2021.08.11,"
								West Virginia","
								08/12/2021","
								08/26/2021"
Temporary Portable Rumble Strips,"
								Georgia","
								08/12/2021","
								08/26/2021"
Inspection & testing of cranes/manlifts/Underbridge units,"
								West Virginia","
								08/12/2021","
								08/26/2021"
RIVERSIDE COUNTY FIRE DEPARTMENT STATION # 77 - LAKE RIVERSIDE EXPANSION PROJECT,"
								California","
								08/12/2021","
								08/26/2021"
PERFORMING THE DUTIES OF AN AUTHORIZED ELEVATOR INSPECTION AND PLAN REVIEW AGENCY,"
								New Jersey","
								08/12/2021","
								08/26/2021"
2022 Program in Corpus Christi,"
								Texas","
								08/12/2021","
								08/25/2021"
"2021 PROPOSITION ""S"" ASPHALT IMPROVEMENTS","
								Missouri","
								08/12/2021","
								08/26/2021"
"2021 ROAD PROGRAM, PHASE 2","
								New Jersey","
								08/12/2021","
								08/26/2021"
TJCTC FY22 Lubbock,"
								Texas","
								08/12/2021","
								08/25/2021"
Eastern Oregon University Integrated Services Building Flooring Replacement,"
								Oregon","
								08/12/2021","
								08/25/2021"
Rip Rap for the Weatherford Maintenance Office,"
								Texas","
								08/12/2021","
								08/25/2021"
Fire Suppression Equipment Services,"
								California","
								08/12/2021","
								08/25/2021"
Sign Language,"
								Texas","
								08/12/2021","
								08/25/2021"
Sole Source KL&A Sole Econmically Feasible Procurement,"
								Illinois","
								08/12/2021","
								08/25/2021"
PAVING IMPROVEMENTS FOR THE RUSSELL COUNTY SCHOOL DISTRICT,"
								Alabama","
								08/12/2021","
								08/25/2021"
Tire Forklift,"
								Texas","
								08/12/2021","
								08/25/2021"
Vacuum Cryopumps for the Plasma Physics WHAM Experiment(UW-MAD)[22-0009],"
								Wisconsin","
								08/12/2021","
								08/25/2021"
Software support and maintenance,"
								West Virginia","
								08/12/2021","
								08/25/2021"
Sewer Televising Inspection,"
								Wisconsin","
								08/12/2021","
								08/25/2021"
CONSULTING AND CURRICULUM DEVELOPMENT AND DELIVERY SERVICES,"
								Texas","
								08/12/2021","
								08/25/2021"
Flooring Projects,"
								Alabama","
								08/12/2021","
								08/25/2021"
Purchase and Installation of Gate Operators and Gate Security Devices at Page Field,"
								Florida","
								08/12/2021","
								08/16/2021"
REBID HOMEOWNER ASSISTANCE FUND PROCESSING AND UNDERWRITING SERVICES,"
								New Jersey","
								08/12/2021","
								08/25/2021"
Forensic Extraction Devices,"
								Texas","
								08/12/2021","
								08/25/2021"
NEW FLAT DECK TRACKHOE TRAILER,"
								Missouri","
								08/12/2021","
								08/25/2021"
Sunbeam Pond,"
								Indiana","
								08/12/2021","
								08/25/2021"
"Purchase, Removal, and Related Services- for Shredded and Recyclable Material","
								Texas","
								08/12/2021","
								08/25/2021"
,,,
MIL DEPT - EAFR Range 5-3 Light Demo Range,"
								Vermont","
								08/12/2021","
								09/13/2021"
Authority Wastewater Engineer,"
								New Jersey","
								08/12/2021","
								08/24/2021"
Cab Tractors w/Loaders,"
								Texas","
								08/12/2021","
								08/24/2021"
Lenovo Desktops & Laptops,"
								Alabama","
								08/12/2021","
								08/24/2021"
RFQ Healing Garden Entry Vestibule,"
								Georgia","
								08/12/2021","
								08/20/2021"
Replacement of Fire Station #2,"
								Missouri","
								08/12/2021","
								08/20/2021"
Medical Supplies for Fire Rescue,"
								Florida","
								08/12/2021","
								08/19/2021"
BUS DRIVER TRAINING FACILITY,"
								Georgia","
								08/12/2021","
								09/07/2021"
Binding Supplies and Related Items,"
								Utah","
								08/12/2021","
								08/24/2021"
Maintenance of Mystery Valley Golf Course,"
								Georgia","
								08/12/2021","
								09/09/2021"
Student Transportation Bids- To and From School,"
								New Jersey","
								08/12/2021","
								08/24/2021"
Statewide Services to Remove and Dispose Wastes from Washrack Interceptors,"
								Texas","
								08/12/2021","
								08/24/2021"
Electrical Services for HHS Region 06,"
								Texas","
								08/12/2021","
								08/24/2021"
Darrington Unit - Replace Electrical,"
								Texas","
								08/12/2021","
								09/23/2021"
2023 78-passenger School Bus,"
								Texas","
								08/12/2021","
								08/23/2021"
Breaded Chicken Tenders,"
								Georgia","
								08/12/2021","
								08/18/2021"
Linen Laundry Services,"
								Texas","
								08/12/2021","
								08/23/2021"
"Plumbing Services, Carlsbad TX","
								Texas","
								08/12/2021","
								08/23/2021"
"Blanket, Lubbock. 529-161112.","
								Texas","
								08/12/2021","
								08/23/2021"
STUDENT TRANSPORTATION SERVICES 2021-2022 School Year,"
								New Jersey","
								08/12/2021","
								08/20/2021"
Peer Assistance,"
								Texas","
								08/12/2021","
								08/23/2021"
GCSU eRFQ for Janitorial Equipment and Supplies,"
								Georgia","
								08/12/2021","
								08/19/2021"
2022 Motor Vehicle Permits Supplier,"
								Ohio","
								08/12/2021","
								08/20/2021"
Site Work Construction for Downtown Campus Playground,"
								Missouri","
								08/12/2021","
								08/16/2021"
Studio Lighting System for ICTN,"
								Texas","
								08/12/2021","
								08/20/2021"
STUDENT TRANSPORTATION SERVICES (REBID) 2021-2022 School Year,"
								New Jersey","
								08/12/2021","
								08/20/2021"
LEASE BUSSES FOR SCHOOL YEAR 2021-2022 (OPERATING LEASE),"
								New Jersey","
								08/12/2021","
								08/20/2021"
Montgomery 1901 Combined Sewer Repair (IR),"
								Missouri","
								08/12/2021","
								08/19/2021"
Tenant Improvements at the Glendale Police Department's Crime Lab,"
								California","
								08/12/2021","
								09/01/2021"
Professional Environmental Engineering Services,"
								Texas","
								08/12/2021","
								08/19/2021"
STUDENT TRANSPORTATION SERVICES 2021-22 School Year,"
								New Jersey","
								08/12/2021","
								08/19/2021"
Tools (Stock),"
								Washington","
								08/12/2021","
								08/18/2021"
Chase Field Unit - Water Well,"
								Texas","
								08/12/2021","
								08/17/2021"
Court Reporting Services for Office of Inspector General,"
								Texas","
								08/12/2021","
								08/16/2021"
Foreign Language Interpreter,"
								Texas","
								08/12/2021","
								08/16/2021"
weight training equipment,"
								West Virginia","
								08/12/2021","
								08/25/2021"
Greenwich Point Causeway Seawall Repairs,"
								Connecticut","
								08/12/2021","
								09/08/2021"
NEW COMPUTER CONTROLLED AXIAL FLOW GAS TURBINE/JET ENGINE,"
								Texas","
								08/12/2021","
								08/23/2021"
Central Estates Waterline Improvements - Materials,"
								Texas","
								08/12/2021","
								08/24/2021"
Backup Armed and Unarmed Security Guard Services for Region 7,"
								Texas","
								08/12/2021","
								08/24/2021"
PAVEMENT EVALUATION CONSULTANT ENGINEERING SERVICES,"
								Connecticut","
								08/12/2021","
								08/23/2021"
ENDING THE HIV EPIDEMIC - COMMUNITY ENGAGEMENT,"
								California","
								08/12/2021","
								08/30/2021"
W+200M4CFC Motor Starters,"
								Texas","
								08/12/2021","
								08/17/2021"
Investigator,"
								Texas","
								08/12/2021","
								08/23/2021"
Aquarius CT System,"
								Utah","
								08/12/2021","
								08/18/2021"
Janitorial Services and semi-annual Floor Care Services,"
								Texas","
								08/12/2021","
								08/16/2021"
WNY Student Bus Transportation 2021-2022 FYE,"
								New Jersey","
								08/12/2021","
								08/24/2021"
Serger Sewing Machines,"
								Texas","
								08/12/2021","
								08/23/2021"
Learning Management System,"
								Texas","
								08/12/2021","
								08/16/2021"
TSBVI-771-21-0008: Non-Perishable Goods and Meats,"
								Texas","
								08/12/2021","
								08/23/2021"
Warranty Service Work for Dell Servers and Storage,"
								Utah","
								08/12/2021","
								08/24/2021"
Assistive Technical Devices,"
								West Virginia","
								08/12/2021","
								08/24/2021"
DAT-Academy-Rife Replacement Parts-RSJ,"
								Illinois","
								08/12/2021","
								08/17/2021"
"T-Shirts for ""I GOT VAXXED""","
								West Virginia","
								08/12/2021","
								08/23/2021"
AUDITING SERVICES,"
								New Jersey","
								08/12/2021","
								08/18/2021"
LCC BROADCLOTH AND TWILL,"
								West Virginia","
								08/12/2021","
								08/25/2021"
JANITORIAL SUPPLIES NO. III,"
								New Jersey","
								08/12/2021","
								08/24/2021"
"Firefighting Tools, Repair Parts, Supplies, and Equipment","
								Oklahoma","
								08/12/2021","
								09/01/2021"
2021 Bridge Repair Program,"
								Kansas","
								08/12/2021","
								09/01/2021"
EXTERMINATING SERVICES,"
								New Jersey","
								08/12/2021","
								08/31/2021"
GRADUATION APPAREL (RETAINABLE),"
								New Jersey","
								08/12/2021","
								09/01/2021"
Laboratory Testing Services,"
								New Jersey","
								08/12/2021","
								09/01/2021"
Managed Care organization,"
								New Jersey","
								08/12/2021","
								09/01/2021"
ROCK SALT,"
								New Jersey","
								08/12/2021","
								08/27/2021"
Moffat County Pavement Striping Bid,"
								Colorado","
								08/12/2021","
								08/26/2021"
Wall Mounted Fins,"
								Texas","
								08/12/2021","
								08/25/2021"
Water Line,"
								West Virginia","
								08/12/2021","
								08/23/2021"
AMARILLO AIRPORT HANGAR LEASE,"
								Texas","
								08/12/2021","
								08/25/2021"
"3/4\"" Corporation Stop","
								North Carolina","
								08/12/2021","
								08/16/2021"
ASSISTANT GENERAL COUNSEL SERVICES FOR A PERIOD OF ONE (1) YEAR,"
								New Jersey","
								08/12/2021","
								08/18/2021"
Ambulance Air Condition Repair,"
								Michigan","
								08/12/2021","
								08/18/2021"
Code 24 800A Overhead and Code 26 800A Underground Transockets,"
								Texas","
								08/12/2021","
								08/25/2021"
Demolition and Site Clearance 45E Scott St,"
								Wisconsin","
								08/12/2021","
								09/08/2021"
Brine Salt for the New Boston Maintenance Office,"
								Texas","
								08/12/2021","
								08/24/2021"
Horticulture Forest Science Replace Hardware and ADA Upgrades,"
								Texas","
								08/12/2021","
								08/23/2021"
Potato Windrower,"
								Texas","
								08/12/2021","
								08/24/2021"
Goodland Hall Water Heater Replacement,"
								Wisconsin","
								08/12/2021","
								08/24/2021"
Semi-trailer,"
								Texas","
								08/12/2021","
								08/24/2021"
GENERAL COUNSEL SERVICES FOR A PERIOD OF ONE (1) YEAR,"
								New Jersey","
								08/12/2021","
								08/18/2021"
PRO MIX B 3.8 CU FT BALES,"
								Pennsylvania","
								08/12/2021","
								08/18/2021"
Alterations and renovations to the Brick Township Fire Training Academy restroom facilities,"
								New Jersey","
								08/12/2021","
								08/20/2021"
STUDENT TRANSPORTATION SERVICES 2021-2022 School Year School Related Activity,"
								New Jersey","
								08/12/2021","
								08/19/2021"
Arboc Bus Parts,"
								Texas","
								08/12/2021","
								08/16/2021"
Event # 15058 - Misc Streetcar Parts,"
								Texas","
								08/12/2021","
								08/16/2021"
Kitchen Equipment Repair Maintenance Services for Corpus Christi State,"
								Texas","
								08/12/2021","
								08/23/2021"
Pest Control Services for the TDCJ Michael Unit,"
								Texas","
								08/12/2021","
								08/25/2021"
General Contracting and Labor Services for Austin State Hospital,"
								Texas","
								08/12/2021","
								08/23/2021"
Computer software maint -IW084804,"
								Texas","
								08/12/2021","
								08/25/2021"
Claims Administrator-Property Workers' Compensation,"
								New Jersey","
								08/12/2021","
								09/01/2021"
Asbestos Surveying and Testing Services,"
								North Carolina","
								08/12/2021","
								08/31/2021"
Asphalt Surfacing,"
								Texas","
								08/12/2021","
								08/24/2021"
"Elevator Maintenance, Repair and Inspection Services at San Antonio State Hospital","
								Texas","
								08/12/2021","
								08/18/2021"
Monthly Maintenance Service for 450E series Sliding Gate at South Locust Point Cruise Terminal,"
								Maryland","
								08/12/2021","
								08/17/2021"
Video Production Companies,"
								Maryland","
								08/12/2021","
								08/31/2021"
Purchase of LabX software for use with Mettler Toledo balances,"
								Texas","
								08/12/2021","
								08/26/2021"
Provide Assessment of Student Communications and Production of Written Communications for CSM’s CRM System,"
								Maryland","
								08/12/2021","
								08/31/2021"
Veterinary Medical Reviewer,"
								Texas","
								08/12/2021","
								08/23/2021"
WORK EXPERIENCE ACTIVITIES FOR IN-SCHOOL YOUTH (ISY) OR OUT-OF-SCHOOL YOUTH (OSY),"
								New Jersey","
								08/12/2021","
								08/31/2021"
Bell Helicopter Servo Overhaul and Repair,"
								Washington","
								08/12/2021","
								08/30/2021"
INTERNAL AUDIT SERVICES,"
								Texas","
								08/12/2021","
								08/18/2021"
,,,
BUSINESS CARDS,"
								Maryland","
								08/12/2021","
								08/27/2021"
MARTIN “MARTY” L. SNOOK PARK DOG PARK FENCING,"
								Maryland","
								08/12/2021","
								08/26/2021"
2021-2022 Student Transportation Services,"
								New Jersey","
								08/12/2021","
								08/20/2021"
Purchase of TMA Arrow Boards and Uprights,"
								Texas","
								08/12/2021","
								08/26/2021"
Narcotics Scanner,"
								Kansas","
								08/12/2021","
								08/25/2021"
2021 Office of Violence Prevention Fund,"
								Minnesota","
								08/12/2021","
								08/25/2021"
Transportation Asset Management Plan (TAMP) and Development Process Update Services,"
								Texas","
								08/12/2021","
								08/18/2021"
Belden Server Cabinets,"
								Texas","
								08/12/2021","
								08/25/2021"
SHC Special (Regulated) Medical Waste and Pharmaceutical Hazardous Waste Pickup and Disposal,"
								Maryland","
								08/12/2021","
								08/25/2021"
Transit Corridor Study Outreach RFP,"
								Minnesota","
								08/12/2021","
								08/24/2021"
DEVELOPERS TO REVITALIZE AND REDEVELOP HOLLAND GARDENS,"
								New Jersey","
								08/12/2021","
								09/23/2021"
"Remove/replace the entire roof on the building including the two sheds and also installing new gutters, downspouts (to existing)and leaf guards/shields etc.","
								New Jersey","
								08/12/2021","
								08/19/2021"
Hagerstown Snow Removal 22.25,"
								Maryland","
								08/12/2021","
								08/24/2021"
AED and EOI Rental and Maintenance,"
								Colorado","
								08/12/2021","
								08/19/2021"
"OAAA, 1000, 082101 Utility Infrastructure at HAATS","
								Colorado","
								08/12/2021","
								09/02/2021"
Foreign Language Interpreter,"
								Texas","
								08/12/2021","
								08/16/2021"
VIDEO CAPTIONING SERVICES,"
								Colorado","
								08/12/2021","
								08/16/2021"
Electrical Emergency Generators Maintenance and Repair for Various Departments,"
								Pennsylvania","
								08/12/2021","
								08/30/2021"
Fax Machine Supplies,"
								Pennsylvania","
								08/12/2021","
								08/25/2021"
Wildflower Seeds,"
								Kentucky","
								08/12/2021","
								08/26/2021"
Off-Site Dental Service,"
								California","
								08/12/2021","
								08/26/2021"
VICTOR STANLEY 36 GAL TRASH CAN LINERS,"
								Pennsylvania","
								08/12/2021","
								08/18/2021"
STUDENT TRANSPORTATION SERVICES 2021-22 School Year,"
								New Jersey","
								08/12/2021","
								08/17/2021"
STUDENT TRANSPORTATION SERVICES 2021-22 School Year,"
								New Jersey","
								08/12/2021","
								08/17/2021"
FLOWERS,"
								Pennsylvania","
								08/12/2021","
								08/18/2021"
Student Legal Services,"
								Washington","
								08/12/2021","
								09/01/2021"
CONSTRUCTION TERM SERVICES- PLUMBING AND HEATING,"
								Alaska","
								08/12/2021","
								08/26/2021"
Continuous Form Computer Paper,"
								California","
								08/12/2021","
								08/26/2021"
SLE WELSBACH DOMES and HOODS,"
								Massachusetts","
								08/12/2021","
								08/19/2021"
Renovation of Latrines Building 57,"
								California","
								08/12/2021","
								09/09/2021"
Winter 21/22 Lion Monitoring Houndsmen,"
								Montana","
								08/12/2021","
								09/01/2021"
Auditor,"
								New Jersey","
								08/12/2021","
								08/17/2021"
Repair Fire Station Drainage Grates,"
								New Hampshire","
								08/12/2021","
								08/31/2021"
Claims Administrator-Property and Casualty,"
								New Jersey","
								08/12/2021","
								09/01/2021"
Embury and Ridge Avenue Improvements,"
								New Jersey","
								08/12/2021","
								08/26/2021"
Hosting Online Tax Sales,"
								New Jersey","
								08/12/2021","
								09/01/2021"
School Physician for the 2021-2022 school year,"
								New Jersey","
								08/12/2021","
								08/17/2021"
Storefront Aluminum Wall Panel Material and Installation Services,"
								California","
								08/12/2021","
								09/08/2021"
TWO YEAR LABOR CONTRACT FOR THE SUPPLY OF HIGH PURITY GASES FOR THE JEFFERSON PARISH DEPARTMENT OF PUBLIC WORKS-WATER,"
								Louisiana","
								08/12/2021","
								08/31/2021"
AIRPORT ENGINEERING SERVICES FOR CORTEZ MUNICIPAL AIRPORT,"
								Colorado","
								08/12/2021","
								08/31/2021"
Road Salt,"
								Missouri","
								08/12/2021","
								08/31/2021"
Rental and Weekly Delivery of Floor Mats for Various DMV Contact Centers in the Customer Services Division (CSD),"
								California","
								08/12/2021","
								08/30/2021"
Miscellaneous Equipment at the DMV Materials Warehouse and DMV Headquarters East Building (Dock),"
								California","
								08/12/2021","
								08/30/2021"
IFB Elevator Maintenance and Repair Services in Alameda County,"
								California","
								08/12/2021","
								08/26/2021"
IYC STC - Fire Safety Service - JW,"
								Illinois","
								08/12/2021","
								08/30/2021"
BOILER RESTORATION & REPLACEMENT,"
								New Jersey","
								08/12/2021","
								08/25/2021"
Sludge Removal Disposal Tc,"
								Pennsylvania","
								08/12/2021","
								08/26/2021"
REQUEST FOR PROPOSALS FOR ACADEMIC ATTENDANCE RECOVERY AND SATURDAY SCHOOL PROGRAM PROVIDER,"
								California","
								08/12/2021","
								08/26/2021"
Grease Traps Food Service Department RE-BID,"
								New Jersey","
								08/12/2021","
								08/18/2021"
TJCTC FY2022 Programs,"
								Texas","
								08/12/2021","
								08/25/2021"
Retrofit Street Lights,"
								New Hampshire","
								08/12/2021","
								08/26/2021"
DNR3 RFB Yucatan WMA Oak Savanna/Bluff Prairie Res,"
								Minnesota","
								08/12/2021","
								08/25/2021"
Police Records Management System (RMS),"
								Arizona","
								08/12/2021","
								08/25/2021"
Chisholm Valley/Ferndale Ridge WMA - Invasive Woody Vegetation Treatment,"
								Minnesota","
								08/12/2021","
								08/25/2021"
Snow/Ice Removal Contract,"
								Missouri","
								08/12/2021","
								08/31/2021"
"HOT MIX OVERLAY - DIEDERICH, AUNT MARY'S, LYON SCHOOL & PROJECT ROADS","
								Missouri","
								08/12/2021","
								08/31/2021"
Sole Source-Cloud Hosting and Maintenance,"
								Illinois","
								08/12/2021","
								08/25/2021"
AudioCodes Software & Support,"
								Tennessee","
								08/12/2021","
								08/24/2021"
Ne Clothespin Ii Cutting Prj Sgl 13,"
								Pennsylvania","
								08/12/2021","
								08/25/2021"
Small Kitchen Equipment Food Service Department,"
								New Jersey","
								08/12/2021","
								08/18/2021"
DHS SP Choate_Water Treatment and Testing,"
								Illinois","
								08/12/2021","
								08/25/2021"
NICE Voice Logger License Maintenance & Support,"
								Tennessee","
								08/12/2021","
								08/24/2021"
2022 or current model year GMC/TK31003 Four Wheel Drive Dump Truck with Snow Plow and Tailgate Salt Spreader or Approved Equal,"
								New Jersey","
								08/12/2021","
								08/17/2021"
Paint,"
								Texas","
								08/12/2021","
								08/23/2021"
Drawing Machine Maintenance (Proprietary),"
								Texas","
								08/12/2021","
								08/23/2021"
Veterinary Services,"
								Texas","
								08/12/2021","
								08/20/2021"
STUDENT TRANSPORTATION SERVICES 2021-2022 School Year,"
								New Jersey","
								08/12/2021","
								08/19/2021"
Energizer Updates and Instant Replacement for Barracuda Load,"
								Ohio","
								08/12/2021","
								08/18/2021"
STUDENT TRANSPORTATION SERVICES 2021-2022 School Year,"
								New Jersey","
								08/12/2021","
								08/19/2021"
2021 DISPOSAL FACILITY AND ROLL-OFF DUMPSTER SERVICES,"
								New Jersey","
								08/12/2021","
								08/19/2021"
"Grease Trap Pumping, Austin, TX","
								Texas","
								08/12/2021","
								08/18/2021"
STUDENT TRANSPORTATION SERVICES 2021-2022 School Year SPECIAL EDUCATION,"
								New Jersey","
								08/12/2021","
								08/17/2021"
School Related Activity Student Transportation Services,"
								New Jersey","
								08/12/2021","
								08/17/2021"
RFQ for Drawing Machine Maintenance (Proprietary),"
								Texas","
								08/12/2021","
								08/23/2021"
Foreign Language Interpreter,"
								Texas","
								08/12/2021","
								08/16/2021"
Janitorial Services 1517 N Banks Pampa TX,"
								Texas","
								08/12/2021","
								08/16/2021"
PLUMBING SERVICES,"
								Virginia","
								08/12/2021","
								08/31/2021"
Hudson Shop Equipment,"
								Texas","
								08/12/2021","
								08/25/2021"
PUBLIC WASTE CONTAINER AND CARTING SERVICES,"
								New Jersey","
								08/12/2021","
								08/17/2021"
INMATE TRANSPORT SERVICES,"
								Missouri","
								08/12/2021","
								08/31/2021"
Strategic Planning Services,"
								North Carolina","
								08/12/2021","
								08/25/2021"
Rotating Grapple Attachment (Excavator),"
								Minnesota","
								08/12/2021","
								08/19/2021"
Ped Doors at the Winona Truck Station,"
								Minnesota","
								08/12/2021","
								08/20/2021"
Truck Tire Changer,"
								Minnesota","
								08/12/2021","
								08/25/2021"
HVAC Equipment,"
								Tennessee","
								08/12/2021","
								08/25/2021"
Fire Force Inc. ALPHA DOOR forcible entry system,"
								North Carolina","
								08/12/2021","
								08/31/2021"
TWO UNMARKED POLICE VEHICLES,"
								New Jersey","
								08/12/2021","
								08/24/2021"
Gas Manifolds – 4th Floor Renovation Project,"
								North Carolina","
								08/12/2021","
								08/23/2021"
Bus Bid,"
								Missouri","
								08/12/2021","
								08/31/2021"
BEERS STREET IMPROVEMENTS,"
								New Jersey","
								08/12/2021","
								08/24/2021"
Phase 4 Repair and Restoration of windows and shutters and lead paint abatement,"
								New Jersey","
								08/12/2021","
								08/31/2021"
DEPARTMENT OF PUBLIC WORKS WATER MATERIALS FOR MAINTENANCE AND REPAIRS,"
								New Jersey","
								08/12/2021","
								08/20/2021"
Music Equipment,"
								North Carolina","
								08/12/2021","
								08/23/2021"
"ODOR AND CORROSION CONTROL, BIOXIDE","
								New Jersey","
								08/12/2021","
								08/20/2021"
Tile & Related Items (Including Installation & Removal),"
								Kentucky","
								08/12/2021","
								08/25/2021"
