name,Location,Publishing Date,Closing Date
CLB025-2021 WATER  SEWER TESTING,"
								New York","
								08/10/2021","
								08/26/2021"
Fitness Equipment Service & Maintenance,"
								North Carolina","
								08/10/2021","
								08/31/2021"
Zero Turn Mower,"
								Rhode Island","
								08/10/2021","
								09/01/2021"
Point Blank Soft Body Armor & Vest Carriers,"
								Rhode Island","
								08/10/2021","
								08/31/2021"
"SPLIT SYSTEM HVAC REPLACEMENT AT 500 W. HANOVER AVE., PARSIPPANY","
								New Jersey","
								08/10/2021","
								08/31/2021"
"BUILDING DEMOLITION AT 560 W. HANOVER AVE. MORRIS TWP, NJ 07960","
								New Jersey","
								08/10/2021","
								08/31/2021"
Elevated Tank No. 7 Electrical Improvements - Reissue,"
								Illinois","
								08/10/2021","
								08/27/2021"
,,,
New Hardwood Excavator Digger Mats (Re-Bid),"
								South Carolina","
								08/10/2021","
								08/25/2021"
Albion Road Cap Beam Replacement,"
								New York","
								08/10/2021","
								09/08/2021"
2022 Police Interceptor Lease/ Finance Bid,"
								New Jersey","
								08/10/2021","
								08/20/2021"
Welder,"
								New York","
								08/10/2021","
								08/24/2021"
Cooperative Food Supply (Re-bid-Poultry),"
								New York","
								08/10/2021","
								08/24/2021"
Audit Services Request for Quote,"
								Michigan","
								08/09/2021","
								09/07/2021"
Legal Services,"
								Michigan","
								08/09/2021","
								09/07/2021"
DEN Drainage Design Services (SBE),"
								Colorado","
								08/09/2021","
								09/08/2021"
DEN Environmental Design Services (SBE),"
								Colorado","
								08/09/2021","
								09/08/2021"
Airline Trail Construction Engineering Phase 2,"
								Michigan","
								08/09/2021","
								09/13/2021"
"Oxbow Natural Area - Nature Play Features, Design-Build","
								Colorado","
								08/09/2021","
								09/16/2021"
2021 Platteville Boulevard Water Main replacement,"
								Colorado","
								08/09/2021","
								09/01/2021"
"FAMLI PREMIUMS, BENEFITS AND DMS SYSTEM IMPLEMENTATION","
								Colorado","
								08/09/2021","
								09/10/2021"
Underground Locating and Marking Services,"
								Colorado","
								08/09/2021","
								08/27/2021"
Benefits Consulting and Brokerage Services,"
								Georgia","
								08/09/2021","
								09/03/2021"
Demolition of Structure-623 Frazer,"
								Michigan","
								08/09/2021","
								09/07/2021"
Installation of Lexan Barriers at CJC,"
								Colorado","
								08/09/2021","
								08/31/2021"
Contract Pricing for Salt and Ice Melter,"
								Illinois","
								08/09/2021","
								08/31/2021"
DPW Message Boards,"
								Michigan","
								08/09/2021","
								08/16/2021"
Baseline and Foothills Trunk Sewer Line Replacement,"
								Colorado","
								08/09/2021","
								09/01/2021"
ITB 4183 - Civic Arena Boiler Replacement,"
								Michigan","
								08/09/2021","
								09/07/2021"
CLINIC SUPPLIES,"
								New York","
								08/09/2021","
								08/18/2021"
BUILDING CODE SERVICES,"
								Colorado","
								08/09/2021","
								09/10/2021"
On Call HVAC Controls Inspections and Repairs,"
								Massachusetts","
								08/09/2021","
								08/26/2021"
2021 Manhole Lining,"
								Colorado","
								08/09/2021","
								08/25/2021"
Cleaning Supplies,"
								New York","
								08/09/2021","
								08/31/2021"
CYPRESS MANOR WASTEWATER TREATMENT FACILITY PLANT IMPROVEMENTS,"
								Florida","
								08/09/2021","
								09/21/2021"
Chiller Replacement,"
								Colorado","
								08/09/2021","
								09/07/2021"
"Pumps, Vertical In-Line Centrifugal","
								New York","
								08/09/2021","
								08/26/2021"
Electronic Message Board - Civic Center Complex,"
								Michigan","
								08/09/2021","
								08/25/2021"
Upgrade of Highway Garage Bay Doors,"
								New York","
								08/09/2021","
								08/31/2021"
Hazardous Materials Response Equipment (Rebid),"
								Alaska","
								08/09/2021","
								08/25/2021"
PUMP PARTS,"
								New York","
								08/09/2021","
								08/24/2021"
"Bulk Oil, Lubriacants and Misc. Related Supplies","
								Michigan","
								08/09/2021","
								09/01/2021"
Supply of Handguns,"
								New York","
								08/09/2021","
								08/19/2021"
Non-Segregated Bus Duct,"
								Colorado","
								08/09/2021","
								09/06/2021"
Exclusive Malt Beverage Marketing Partner,"
								Colorado","
								08/09/2021","
								09/17/2021"
Vulcan EV60SS-6FP24G480 Electric Range/oven 2021,"
								New York","
								08/09/2021","
								08/19/2021"
Metroparks Community Recreation Plan Survey,"
								Michigan","
								08/09/2021","
								08/25/2021"
Tanana Lakes Recreation Area Trailhead Kiosks,"
								Alaska","
								08/09/2021","
								08/30/2021"
Sheep Facility Fencing,"
								Colorado","
								08/09/2021","
								08/25/2021"
R900 Belt Clip Transceivers (BCTs),"
								Georgia","
								08/09/2021","
								08/19/2021"
Invitation to Bid Sale of Surplus Fire Apparatus 2006 Pierce Heavy Rescue Truck,"
								New York","
								08/09/2021","
								09/23/2021"
LITTLE ROAD WATER TREATMENT PLANT PUMPING SYSTEM UPGRADES,"
								Florida","
								08/09/2021","
								09/21/2021"
"SIGNS, POSTS & MISCELLANEOUS FOR ROADS","
								Texas","
								08/09/2021","
								08/31/2021"
UV BALLAST CARDS,"
								New York","
								08/09/2021","
								08/24/2021"
REFLECTIVITY WARNING SIGN POSTS PROJECT NO. 3,"
								Michigan","
								08/09/2021","
								08/24/2021"
WATERFRONT VILLAGE PHASE 1 JAMES STREET PEDESTRAIN OVERLOOK PROJECT,"
								New York","
								08/09/2021","
								08/19/2021"
Purchase of XRF Lead Paint Spectrum Analyzer System,"
								New York","
								08/09/2021","
								08/31/2021"
2021 MISCELLANEOUSE DRAINAGE IMPROVEMENTS,"
								Colorado","
								08/09/2021","
								08/27/2021"
Install Bus Shelters And Concrete Bus Shelter Pads At 8 Locations,"
								Michigan","
								08/09/2021","
								08/27/2021"
COMPLETE MACHINE SHOP SERVICES SPECIALIZING IN REPAIR AND MANUFACTURING,"
								Texas","
								08/09/2021","
								08/31/2021"
HVAC Replacement at Challis Road Water Plant (2),"
								Michigan","
								08/09/2021","
								08/23/2021"
"Cross Street, MLK to 9th Avenue, Drainage Improvements","
								Florida","
								08/09/2021","
								09/08/2021"
LED Lighting for Various County Buildings,"
								New York","
								08/09/2021","
								08/31/2021"
Demolition of 502 Wilson,"
								Michigan","
								08/09/2021","
								08/16/2021"
ONE (1) 2021 OR NEWER FORD F150 EXTENDED CAB 4X4 HOT SHOT FOOD DELIVERY VEHICLE,"
								New Jersey","
								08/09/2021","
								08/26/2021"
Demolition of 1513 Deyo,"
								Michigan","
								08/09/2021","
								08/16/2021"
SALT STORAGE SHED,"
								New York","
								08/09/2021","
								08/26/2021"
Medical Examiner’s Office Carriers,"
								Michigan","
								08/09/2021","
								08/26/2021"
North Castle Long Pond Gazebo Project,"
								New York","
								08/09/2021","
								08/31/2021"
2021 Fresh Made Pizza for Lunch Service Re-Bid,"
								Michigan","
								08/09/2021","
								08/23/2021"
Supply and Delivery of Automotive Oils and Lubricants,"
								New York","
								08/09/2021","
								08/30/2021"
Pump Equipment Maintenance/ Repair,"
								New Jersey","
								08/09/2021","
								09/08/2021"
Prequalification of Construction Contractor for the Concession Stand Addition,"
								Florida","
								08/08/2021","
								08/31/2021"
Facility Design and Architecture: Police Station and Town Hall,"
								Colorado","
								08/06/2021","
								09/14/2021"
Mesa Tank Valving Project,"
								Colorado","
								08/06/2021","
								09/13/2021"
"2021-Repairs, Trail and Parking Lot Project","
								Colorado","
								08/06/2021","
								10/01/2021"
Professional Services Consultant for Land Use & Development Code Update,"
								Colorado","
								08/06/2021","
								09/01/2021"
Persigo Wastewater Treatment Plant Electrical Improvements,"
								Colorado","
								08/06/2021","
								10/05/2021"
Fleet Management Software,"
								Colorado","
								08/06/2021","
								08/31/2021"
Community Center Phase I,"
								Colorado","
								08/06/2021","
								09/07/2021"
Ammunition,"
								Rhode Island","
								08/06/2021","
								08/31/2021"
Frozen Snacks,"
								New York","
								08/06/2021","
								08/26/2021"
High School Bleacher Repair,"
								Rhode Island","
								08/06/2021","
								08/17/2021"
"Automotive Fluids, As-Needed","
								New York","
								08/06/2021","
								08/26/2021"
SIGNAGE,"
								Florida","
								08/06/2021","
								08/20/2021"
Annual Bituminous Concrete & Portland Cement,"
								Rhode Island","
								08/06/2021","
								08/24/2021"
Denver Adult Probation Department - Useful Public Service,"
								Colorado","
								08/06/2021","
								09/07/2021"
"Data Inventory, Which will support the Citywide Data Management Program","
								Colorado","
								08/06/2021","
								09/22/2021"
"High Resolution Aerial Photography, Planimetrix and Evaluation Data","
								New York","
								08/06/2021","
								09/14/2021"
Hosted Data Center Services,"
								Colorado","
								08/06/2021","
								08/31/2021"
METAL VEHICLE COVER,"
								Florida","
								08/06/2021","
								08/20/2021"
Department of Public Works Garage - Petroleum Bulk Storage Project,"
								New York","
								08/06/2021","
								09/03/2021"
UW Student Media: Branding Iron Newspaper - Fall Semester 2021,"
								Wyoming","
								08/06/2021","
								08/19/2021"
EJMT Bulk Fuel Storage,"
								Colorado","
								08/06/2021","
								09/02/2021"
Executive Search Firm,"
								Georgia","
								08/06/2021","
								08/18/2021"
Purchase of Trees,"
								New York","
								08/06/2021","
								08/18/2021"
Snow Removal Services at Various SCWA Sites,"
								New York","
								08/06/2021","
								09/10/2021"
New Intranet,"
								New York","
								08/06/2021","
								09/10/2021"
INDUSTRIAL TECHNOLOGY TOOL REPAIR AND BLADE SHARPENING SERVICES,"
								New York","
								08/06/2021","
								08/18/2021"
Request for Quote for Cross Cut Shredder,"
								Michigan","
								08/06/2021","
								08/23/2021"
"Building Renovations Yorktown Maintenance Garage, Cortlandt Manor, N.Y.","
								New York","
								08/06/2021","
								09/15/2021"
Smart AMI Water Meter System,"
								New York","
								08/06/2021","
								09/10/2021"
St Vrain North Roof Replacement,"
								Colorado","
								08/06/2021","
								09/08/2021"
Fire Station Emergency Generator,"
								Michigan","
								08/06/2021","
								08/31/2021"
Subpoena Process Services,"
								Michigan","
								08/06/2021","
								08/30/2021"
No Lead Water Service Parts,"
								Michigan","
								08/06/2021","
								08/16/2021"
Installation of Advanced Oxidation Process (AOP) Water Treatment Systems,"
								New York","
								08/06/2021","
								09/08/2021"
Request for Quotes for a partial demolition of 1312 Adams Street,"
								Texas","
								08/06/2021","
								08/20/2021"
,,,
BID #6 HEMV 2021-2022 - Automatic Transfer Switches,"
								New York","
								08/06/2021","
								08/24/2021"
Purchase of Macomb Township Owned Vacant Property at 25 Mile Road,"
								Michigan","
								08/06/2021","
								08/25/2021"
"Instructional Aids and Curriculum Materials, Supplies and Services","
								Texas","
								08/06/2021","
								08/20/2021"
Supply & Delivery Two Hot Water Storage Tanks - Land O' Lakes Detention Center,"
								Florida","
								08/06/2021","
								08/23/2021"
Safety Services for Oswego Country's Self-Insured Plan for Workers' Compensation,"
								New York","
								08/06/2021","
								09/10/2021"
Fair Share Ordinance & Administrative Manual Update Rebid,"
								Colorado","
								08/06/2021","
								08/26/2021"
Region 2 Project Specific Powers Blvd and Airport Rd Interchange Design,"
								Colorado","
								08/05/2021","
								08/26/2021"
Morey Fire Detection Replacement,"
								Colorado","
								08/05/2021","
								08/25/2021"
2020 Bobcat T76 Compact Track Loader and Brushcat HF-72” Rotary Cutter,"
								California","
								08/05/2021","
								09/10/2021"
Wayfinding Trail Sign Package,"
								Colorado","
								08/05/2021","
								08/25/2021"
7' Sickle Bar Attachment for Toolcat 5600,"
								Michigan","
								08/05/2021","
								08/31/2021"
Gifted and Talented Identification/ Assessment Program,"
								New York","
								08/05/2021","
								09/02/2021"
2021 Concrete Improvements Project,"
								Colorado","
								08/05/2021","
								08/24/2021"
Bilingual Evaluations,"
								New York","
								08/05/2021","
								08/24/2021"
Install Folding Partitions at Harrison High School Gym,"
								New York","
								08/05/2021","
								08/23/2021"
Lone Tree Golf Club & Hotel North Balcony Repairs,"
								Colorado","
								08/05/2021","
								08/25/2021"
MINES22010 Ambulance Services DQ,"
								Colorado","
								08/05/2021","
								08/16/2021"
Resource Services for ERP Cloud Project,"
								New York","
								08/05/2021","
								08/24/2021"
Boiler and Hot Water Heater Replacement - Snowmass Inn Lodge,"
								Colorado","
								08/05/2021","
								08/18/2021"
METAL BUILDING,"
								New York","
								08/05/2021","
								08/19/2021"
MUNICIPAL BUDGETING SOFTWARE SOLUTION,"
								New York","
								08/05/2021","
								09/03/2021"
RFP American Rescue Plan Act Consulting Services,"
								Texas","
								08/05/2021","
								08/31/2021"
Enterprise Resource Planning Solution,"
								Michigan","
								08/05/2021","
								09/23/2021"
Capacitor Bank for Solar Energy Project,"
								Colorado","
								08/05/2021","
								08/20/2021"
Water Pumps & Motors Maintenance and Repair,"
								New York","
								08/05/2021","
								08/27/2021"
2021 Crack Seal Project,"
								Colorado","
								08/05/2021","
								08/19/2021"
"Search Assistance for Associate VP for Marketing & Communication, CMCO","
								Texas","
								08/05/2021","
								09/02/2021"
2022 Calendar Project,"
								Michigan","
								08/05/2021","
								08/31/2021"
Maintenance & Repair of the Water Bureau's Emergency Power Systems,"
								New York","
								08/05/2021","
								08/27/2021"
Media Buying and Marketing Agency,"
								Colorado","
								08/05/2021","
								09/02/2021"
"GLOVES, ANNUAL ESTIMATED QUANTITIES","
								Michigan","
								08/05/2021","
								08/24/2021"
On Call - Storm Pipe Cleaning Services,"
								Georgia","
								08/05/2021","
								09/01/2021"
NORTH OLD WOODWARD PARKING STRUCTURE REPAIRS 2021,"
								Michigan","
								08/05/2021","
								08/20/2021"
WILLIAM R. PROBST MEMORIAL,"
								Georgia","
								08/05/2021","
								08/26/2021"
Diving Program Management Services,"
								Maryland","
								08/05/2021","
								09/08/2021"
HENDERSON PARK:  SIDEWALK,"
								Georgia","
								08/05/2021","
								08/26/2021"
Noise Wall Structural Repairs,"
								Colorado","
								08/05/2021","
								08/19/2021"
Intelligent Transportation system  (ITS) Architecture Update,"
								New York","
								08/05/2021","
								08/31/2021"
FITZGERALD PARK FIELD IMPROVEMENTS,"
								Georgia","
								08/05/2021","
								09/02/2021"
A Continuum of Child Welfare Case Management Services,"
								Ohio","
								08/05/2021","
								09/13/2021"
On Call HVAC Repair (2021-2022),"
								New Jersey","
								08/05/2021","
								08/17/2021"
On Call Plumbing Repair (2021-2022),"
								New Jersey","
								08/05/2021","
								08/17/2021"
On Call Roofing Repair (2021-2022),"
								New Jersey","
								08/05/2021","
								08/17/2021"
On Call Masonry Repair (2021-2022),"
								New Jersey","
								08/05/2021","
								08/17/2021"
On Call Vehicle Repair (2021-2022),"
								New Jersey","
								08/05/2021","
								08/17/2021"
Carpet Supply and Installation (2021-2022),"
								New Jersey","
								08/05/2021","
								08/17/2021"
On Call Electrical Repair (2021-2022),"
								New Jersey","
								08/05/2021","
								08/17/2021"
On Call Boiler Repair (2021-2022),"
								New Jersey","
								08/05/2021","
								08/17/2021"
ANTIMICROBIAL PAINT SUPPLIES,"
								New York","
								08/05/2021","
								08/20/2021"
Provide Construction of Storage/Training Facility as Specified,"
								New York","
								08/05/2021","
								09/09/2021"
"Hustler Super Z 60"" Mower","
								Michigan","
								08/05/2021","
								08/19/2021"
FACILITIES EQUIPMENT - COMPACT DRUM ROLLER & TURF GROOMER - REBID,"
								New York","
								08/05/2021","
								08/24/2021"
REPLACEMENT OF PENN BLOWDOWN SEPARATOR TO BOILERS 1&2,"
								New York","
								08/05/2021","
								08/19/2021"
Jefferson Avenue - Masonic Boulevard Pump Station -2021,"
								Michigan","
								08/05/2021","
								08/24/2021"
RFP-SPH-2021.820 - CASH MANAGEMENT SOLUTION,"
								Colorado","
								08/05/2021","
								09/03/2021"
Concrete Pads and Sidewalks For Marta Shelters,"
								Georgia","
								08/05/2021","
								08/26/2021"
Professional Educational Tutor,"
								Michigan","
								08/05/2021","
								08/20/2021"
Seven Oaks Lake Dam Improvement Project,"
								Georgia","
								08/05/2021","
								09/02/2021"
52B Mary Fence,"
								Colorado","
								08/05/2021","
								08/19/2021"
New Warehouse Racking Project,"
								Colorado","
								08/05/2021","
								08/27/2021"
Quarantine Units Renovation,"
								Mississippi","
								08/05/2021","
								08/27/2021"
"SUPPLY AND INSTALLATION OF CLARIFIER DRIVE, GRIT DECLASSIFIER, AND  BAR SCREEN","
								New York","
								08/05/2021","
								09/09/2021"
"TELESCOPIC SIGN POSTS, ANNUAL ESTIMATED QUANTITIES","
								Michigan","
								08/05/2021","
								08/24/2021"
INSTALLATION OF FIELD LIGHTING AT MULTIPLE CITY LOCATIONS,"
								Rhode Island","
								08/05/2021","
								09/02/2021"
Liability and Workers Compensation Third Party Administrative Services,"
								Illinois","
								08/05/2021","
								08/24/2021"
Dry Cleaning Services for City of Flint Fire and Police Departments,"
								Michigan","
								08/05/2021","
								08/19/2021"
Furnish Tanker Access Upgrade for Mead/Lime Loading Station as Specified,"
								New York","
								08/05/2021","
								08/26/2021"
Furnish Repair and Replace Sidewalks as Specified,"
								New York","
								08/05/2021","
								08/19/2021"
Traffic Signal Maintenance Services,"
								Georgia","
								08/05/2021","
								08/31/2021"
"Management/Operation of the CC Public Transit System & Downtown Transp Center, w","
								New York","
								08/05/2021","
								09/30/2021"
Electrical Supplies,"
								New York","
								08/05/2021","
								08/17/2021"
RFB-6677 Purchase of Three (3) New Chevrolet Express or Equal 12 passenger vans,"
								New York","
								08/05/2021","
								08/20/2021"
ADA Improvements at DPW Building,"
								Michigan","
								08/05/2021","
								08/26/2021"
"NEW TWO COMPARTMENT, PRESSURELESS ELECTRIC STEAM GENERATOR 24"" WIDE CABINET","
								New Jersey","
								08/05/2021","
								08/19/2021"
Pupil Transportation,"
								New York","
								08/05/2021","
								08/16/2021"
Torchmate 4400 Plasma Cutting Machine,"
								New York","
								08/05/2021","
								08/17/2021"
Parking Lots and Road Paving Rehabilitation (Section 21),"
								Michigan","
								08/05/2021","
								08/19/2021"
Unit Heaters (12) & A/C Replacement Project,"
								Michigan","
								08/05/2021","
								08/19/2021"
2021-2022 Miscellaneous Concrete Project,"
								Michigan","
								08/05/2021","
								08/23/2021"
HP EliteDesk 800 G6 All in One PC,"
								Michigan","
								08/05/2021","
								08/18/2021"
Thermoplastic Striping & RPM Project,"
								Georgia","
								08/05/2021","
								08/30/2021"
MAILINGS FOR ARAPAHOE COUNTY ASSESSOR’S OFFICE & THE CLERK AND RECORDER’S OFFICE,"
								Colorado","
								08/05/2021","
								08/19/2021"
Highway Garage Repair,"
								New York","
								08/05/2021","
								08/18/2021"
Grave Markers-Supply and Install,"
								New York","
								08/05/2021","
								09/09/2021"
Oils-Engine Oils and Various Fluids,"
								New York","
								08/05/2021","
								08/31/2021"
UPFITTING OF POLICE MOTORCYCLES,"
								New York","
								08/05/2021","
								08/24/2021"
SONICWALL SOFTWARE SUBSCRIPTION LICENSES,"
								New York","
								08/05/2021","
								08/23/2021"
ANNUAL REQUIREMENTS CONTRACT - PUMP & STEAM VALVE PACKING,"
								New York","
								08/05/2021","
								08/18/2021"
ANNUAL REQUIEMENTS CONTRACT - MOBILE BROADBAND KITS,"
								New York","
								08/05/2021","
								08/17/2021"
AUTOMOBILE FIRE TRAINING SYSTEM,"
								New York","
								08/05/2021","
								09/01/2021"
Plumbing Services,"
								Florida","
								08/05/2021","
								08/26/2021"
Janitorial Services,"
								Michigan","
								08/04/2021","
								08/30/2021"
Detention Staffing Analysis,"
								Colorado","
								08/04/2021","
								09/09/2021"
Architectural Services for Hiawatha Gardens' Restoration Design & Cost Estimates,"
								Colorado","
								08/04/2021","
								09/01/2021"
Renovation for Online Learning at FSC,"
								Colorado","
								08/04/2021","
								08/24/2021"
College Hill Library Mechanical Renovation,"
								Colorado","
								08/04/2021","
								08/27/2021"
Public Works Facility Project 1,"
								Colorado","
								08/04/2021","
								08/31/2021"
Traffic Signals Maintenance and Additional Work Services,"
								Colorado","
								08/04/2021","
								08/26/2021"
Harmony Park Improvements,"
								Colorado","
								08/04/2021","
								08/25/2021"
Bulk Orthophosphate,"
								Florida","
								08/04/2021","
								09/09/2021"
,,,
Ida Park Improvements Project,"
								Colorado","
								08/04/2021","
								08/25/2021"
DESC Community Health Corps-Commercial Office Space 0821,"
								Michigan","
								08/04/2021","
								09/10/2021"
2021 Concrete Repair Project #3,"
								Georgia","
								08/04/2021","
								08/18/2021"
On Call Commercial/Industrial Electrical Contractor,"
								New York","
								08/04/2021","
								08/25/2021"
CNG Fueling Meter,"
								Colorado","
								08/04/2021","
								08/17/2021"
Athletics Charter Buses and Drivers,"
								Colorado","
								08/04/2021","
								08/18/2021"
On-Call Tree and Vegetation Services,"
								Colorado","
								08/04/2021","
								08/25/2021"
APPLICATIONS FOR DATA ANALYST EPIDEMIOLOGIST FOR COVID-19 MATTERS,"
								New York","
								08/04/2021","
								08/18/2021"
21-T00105/TM Hernando Beach Water Tower Maintenance,"
								Florida","
								08/04/2021","
								09/01/2021"
Purchase of 6ft & 8ft Aluminum Arms for Wood Poles as needed for 12-months,"
								New York","
								08/04/2021","
								08/20/2021"
2021 TAX REVERTED PROPERTY SALE,"
								Michigan","
								08/04/2021","
								08/18/2021"
"GUARDRAIL POSTS AND BLOCKS, ANNUAL ESTIMATED QUANTITIES","
								Michigan","
								08/04/2021","
								08/24/2021"
SaaS Electronic Medical Records Software for Physical Therapy/Occ. Health Clinic,"
								Colorado","
								08/04/2021","
								09/08/2021"
MDOT - 2021 Maintenance Work - St. Clair County,"
								Michigan","
								08/04/2021","
								08/19/2021"
2021 Storm System Maintenance Project,"
								Colorado","
								08/04/2021","
								08/24/2021"
CLB024-2021 Sodium Bisulfite,"
								New York","
								08/04/2021","
								08/26/2021"
"PEDESTAL SHAFTS AND BASES, ANNUAL ESTIMATED QUANTITIES","
								Michigan","
								08/04/2021","
								08/24/2021"
On-Site Door Repair and Overhead Door Preventive Predictive Maintenance,"
								Georgia","
								08/04/2021","
								09/14/2021"
2021 Asphalt Resurfacing Project,"
								Michigan","
								08/04/2021","
								08/17/2021"
MINES22006 Water Sampling Services RFP,"
								Colorado","
								08/04/2021","
								09/03/2021"
"ELECTRICAL PARTS FOR TRAFFIC SIGNALS, ANNUAL ESTIMATED QUANTITIES","
								Michigan","
								08/04/2021","
								08/24/2021"
Athletic Complex Feasibility Study,"
								Michigan","
								08/04/2021","
								09/02/2021"
21-22 Garbage/Refuse,"
								New York","
								08/04/2021","
								08/26/2021"
Traffic Signal Poles and Arms,"
								Colorado","
								08/04/2021","
								08/26/2021"
2021 or current model 4X4 Pickup Truck w/8' box with standard cab,"
								Michigan","
								08/04/2021","
								08/25/2021"
Olde Course Clubhoue Renovation - Construction Manager at Risk(CMAR),"
								Colorado","
								08/04/2021","
								09/09/2021"
Engineering Services for the Quincy Reservoir Phase 1 BMPs,"
								Colorado","
								08/04/2021","
								08/25/2021"
Drain & Sewer Services,"
								New York","
								08/04/2021","
								08/25/2021"
Produce and Print Bus Passes & Transfers for Broome County Transit - REBID,"
								New York","
								08/04/2021","
								08/18/2021"
Licensed Journeyman Plumber,"
								New York","
								08/04/2021","
								08/25/2021"
"Public Safety LMR Base Station Antenna, Transmission Line & Tower Equipment","
								New York","
								08/04/2021","
								08/18/2021"
SENIOR SERVICES MEALS ON WHEELS DELIVERY SOLUTION,"
								Michigan","
								08/04/2021","
								09/03/2021"
Wagar Hallway Replace Flooring,"
								Colorado","
								08/04/2021","
								08/17/2021"
Juvenile Justice Youth Alternatives Program,"
								New York","
								08/04/2021","
								09/01/2021"
Security Guard Services,"
								New York","
								08/04/2021","
								09/01/2021"
2021 Museum HVAC Replacement,"
								Colorado","
								08/04/2021","
								08/25/2021"
PURCHASE OF E-POLL BOOKS,"
								New Jersey","
								08/04/2021","
								08/19/2021"
Fire Station and Police Station with Municipal Court,"
								Texas","
								08/04/2021","
								09/03/2021"
As-Needed Replacement Bus Shelter Glass- Multi-Year Award,"
								Florida","
								08/04/2021","
								08/31/2021"
License Plate Scanner,"
								Michigan","
								08/04/2021","
								08/25/2021"
"Removal of City Owned Trees, Boles and Stumps","
								New York","
								08/04/2021","
								08/18/2021"
3 Bathroom Renovation Pearl River,"
								New York","
								08/04/2021","
								08/19/2021"
Motorola Radio Maintenance and On-Site Technician,"
								Michigan","
								08/04/2021","
								08/18/2021"
RFP 21-277: Airport Tenant Management Software,"
								Idaho","
								08/04/2021","
								08/25/2021"
Bull Reservoir Pump Station Replacement,"
								Colorado","
								08/04/2021","
								08/26/2021"
DELIVERY OF 32% LIQUIDOW CALCIUM CHLORIDE,"
								Michigan","
								08/04/2021","
								08/24/2021"
"Boiler and Water Heater Replacement, 30 Harriman Drive, Goshen, NY","
								New York","
								08/04/2021","
								08/26/2021"
"RFP for the Purchase, Development and Sale of Residential Properties","
								New York","
								08/04/2021","
								09/08/2021"
Juvenile Care Center Parking Lot,"
								Michigan","
								08/04/2021","
								08/24/2021"
RFB-309 Court Street Demolition,"
								North Carolina","
								08/04/2021","
								08/18/2021"
Treasurer's Office Enclosure,"
								Colorado","
								08/04/2021","
								08/27/2021"
Gilpin County Community Center Campus Improvements,"
								Colorado","
								08/04/2021","
								08/27/2021"
In-Car Drivers Education,"
								New York","
								08/04/2021","
								08/16/2021"
21-C00122/DK Weeki Wachee DRA Retrofit Phase I Project,"
								Florida","
								08/04/2021","
								09/08/2021"
21-C00121/DK US 19 and Forest Oaks Blvd. Intersection Improvement,"
								Florida","
								08/04/2021","
								09/01/2021"
Container Service Quote- Twp of Vernon,"
								New Jersey","
								08/04/2021","
								09/22/2021"
2021 Burcham Drive & Grove Street Alley Water Valve Replacements and New Valves,"
								Michigan","
								08/04/2021","
								08/31/2021"
Oakhill Retaining Wall Replacement Project,"
								Michigan","
								08/04/2021","
								08/30/2021"
Justice Center Prison Showers Renovation and Repair,"
								Colorado","
								08/03/2021","
								09/14/2021"
General Abatement Contractor (GAC) On-Call Services,"
								Colorado","
								08/03/2021","
								08/24/2021"
City of Fort Collins - Transfort 3 Axle Bus Lift,"
								Colorado","
								08/03/2021","
								09/02/2021"
Wayfinding Signs for CAB Garage,"
								Colorado","
								08/03/2021","
								08/27/2021"
2021 RFP Website Design and Digital Transformation,"
								Colorado","
								08/03/2021","
								09/07/2021"
Chief of Police Search Firm,"
								Colorado","
								08/03/2021","
								08/16/2021"
City of Fort Collins Water Adequacy Determination Review Program,"
								Colorado","
								08/03/2021","
								09/01/2021"
COMMERCIAL MICROWAVES,"
								New York","
								08/03/2021","
								08/18/2021"
Wyandotte Cable Headend Inside Plant Material for FTTH Project,"
								Michigan","
								08/03/2021","
								08/23/2021"
WTRF Primary and Phosphorus Side Stream Treatment Upgrades for Water and Sewer,"
								Colorado","
								08/03/2021","
								08/24/2021"
Recreation Center Senior Services Division Meal Site Catering,"
								Colorado","
								08/03/2021","
								09/09/2021"
Furnish and Deliver Water Meter Interface Units (MIUs),"
								New York","
								08/03/2021","
								08/24/2021"
Asbestos Abatement Project for Old Palisade High School,"
								Colorado","
								08/03/2021","
								08/27/2021"
Pre-Cast Concrete Catch Basins and associated items,"
								New York","
								08/03/2021","
								08/24/2021"
CSP 21-026 Vehicle Parts and Repair Services,"
								Texas","
								08/03/2021","
								08/24/2021"
Broomfield Sound Wall Repairs,"
								Colorado","
								08/03/2021","
								08/19/2021"
FLAT ROOF REPAIRS FOR THE WATERFORD OFFICE,"
								Michigan","
								08/03/2021","
								08/24/2021"
RE-SOLICITATION of On-Call Refuse Collection Services,"
								Colorado","
								08/03/2021","
								08/18/2021"
Camp Cleanup,"
								Colorado","
								08/03/2021","
								08/23/2021"
Tree Maintenance and Stump Grinding Services,"
								Michigan","
								08/03/2021","
								08/25/2021"
REPOST MINES21064,"
								Colorado","
								08/03/2021","
								09/03/2021"
Landscape Architect On-Call Contract,"
								Colorado","
								08/03/2021","
								08/23/2021"
"RFP 22-008 Residential Housing Furniture, Bldg. 350","
								Florida","
								08/03/2021","
								08/25/2021"
FACILITY DESIGN SERVICES:  CITY HALL - POLICE PRECINCT CONCEPT,"
								Georgia","
								08/03/2021","
								09/10/2021"
Concrete Repairs - Various Locations,"
								Colorado","
								08/03/2021","
								08/25/2021"
